species,ID,bud,cell,region,W,L,TL
S. stachydifolia,5,3,4,basal,21.148,55.887,3509.811
S. stachydifolia,5,3,5,basal,21.121,44.195,3509.811
S. stachydifolia,5,3,6,medium,24.148,22.491,3509.811
S. stachydifolia,5,3,7,medium,24.961,27.769,3509.811
S. stachydifolia,5,3,8,medium,28.623,28.623,3509.811
S. stachydifolia,5,3,9,medium,24.343,21.732,3509.811
S. stachydifolia,5,3,10,medium,20.528,24.248,3509.811
S. stachydifolia,5,3,11,distal,17.91,25.729,3509.811
S. stachydifolia,5,3,12,distal,23.644,31.034,3509.811
S. stachydifolia,5,3,13,distal,17.672,21.447,3509.811
S. stachydifolia,5,3,14,distal,21.944,33.438,3509.811
S. stachydifolia,5,3,15,distal,17.485,34.376,3509.811
S. stachydifolia,5,4,1,basal,29.183,94.382,4638.961
S. stachydifolia,5,4,2,basal,34.777,55.266,4638.961
S. stachydifolia,5,4,3,basal,35.48,54.867,4638.961
S. stachydifolia,5,4,4,basal,28.052,79.566,4638.961
S. stachydifolia,5,4,5,basal,28.67,85.697,4638.961
S. stachydifolia,5,4,6,medium,22.353,31.102,4638.961
S. stachydifolia,5,4,7,medium,26.671,31.269,4638.961
S. stachydifolia,5,4,8,medium,23.05,32.915,4638.961
S. stachydifolia,5,4,9,medium,23.603,47.827,4638.961
S. stachydifolia,5,4,10,medium,23.628,53.414,4638.961
S. stachydifolia,5,4,11,distal,14.402,26.344,4638.961
S. stachydifolia,5,4,12,distal,17.485,40.816,4638.961
S. stachydifolia,5,4,13,distal,17.781,29.714,4638.961
S. stachydifolia,5,4,14,distal,22.983,40.365,4638.961
S. stachydifolia,5,4,15,distal,17.319,55.164,4638.961
S. stachydifolia,5,5,1,basal,34.86,89.041,9808.633
S. stachydifolia,5,5,2,basal,32.668,140.065,9808.633
S. stachydifolia,5,5,3,basal,33.622,121.707,9808.633
S. stachydifolia,5,5,4,basal,36.5355,138.843,9808.633
S. stachydifolia,5,5,5,basal,33.553,144.022,9808.633
S. stachydifolia,5,5,6,medium,22.431,76.939,9808.633
S. stachydifolia,5,5,7,medium,25.03,54.102,9808.633
S. stachydifolia,5,5,8,medium,24.112,103.202,9808.633
S. stachydifolia,5,5,9,medium,21.812,98.916,9808.633
S. stachydifolia,5,5,10,medium,20.216,105.34,9808.633
S. stachydifolia,5,5,11,distal,27.496,86.217,9808.633
S. stachydifolia,5,5,12,distal,42.446,100.356,9808.633
S. stachydifolia,5,5,13,distal,31.441,57.267,9808.633
S. stachydifolia,5,5,14,distal,32.156,92.069,9808.633
S. stachydifolia,5,5,15,distal,32.668,71.255,9808.633
