species,ID,bud,CTL,ULL,TL
sta,8,4,3205,2239,5494
sta,8,5,3329,2262,5689
sta,8,6,3340,2554,5843
sta,8,7,4944,3185,8163
sta,8,8,4909,3241,8214
sta,8,9,5265,3522,8826
sta,8,10,9552,5753,15205
sta,9,1,1908,992,2882
sta,9,2,1778,1460,3206
sta,9,3,2209,1343,3560
sta,9,4,3093,2016,5268
sta,9,5,4069,2550,6667
sta,9,6,3889,2609,6525
sta,9,7,3969,2632,6637
sta,9,8,5418,3463,8870
sta,9,9,5283,3433,8746
sta,9,10,9793,6564,16252
sta,10,1,1835,1220,3094
sta,10,2,2376,1637,4176
sta,10,3,2312,1468,3893
sta,10,4,3450,1985,5615
sta,10,5,3665,2411,6152
sta,10,6,3822,2588,6478
sta,10,7,4058,2394,6535
sta,10,8,4734,3645,8379
sta,10,9,5903,2981,8865
sta,10,10,9864,5995,15896
